len,std_min,std_max,std_mean,std_std,parse_integer_no_simd_min,parse_integer_no_simd_max,parse_integer_no_simd_mean,parse_integer_no_simd_std,std_delimeter_min,std_delimeter_max,std_delimeter_mean,std_delimeter_std,parse_integer_no_simd_delimeter_min,parse_integer_no_simd_delimeter_max,parse_integer_no_simd_delimeter_mean,parse_integer_no_simd_delimeter_std,parse_integer_simd_delimeter_min,parse_integer_simd_delimeter_max,parse_integer_simd_delimeter_mean,parse_integer_simd_delimeter_std,
1,31,58674,36.0747,207.3763,27,58353,32.8113,228.4812,39,68766,42.6993,227.1881,29,142455,33.4123,211.5987,31,55907,35.6316,244.9201,
2,33,62396,40.2798,291.8989,31,93540,36.3647,271.4094,41,91143,47.8046,328.4945,31,85677,34.7590,189.1498,33,55505,36.5627,216.1164,
3,35,57664,40.7989,167.6546,33,46794,36.1167,156.9822,45,47908,50.2791,207.4975,33,114657,40.1805,338.6940,33,61567,37.9716,237.3303,
4,39,91946,47.3824,384.8922,33,64105,42.6770,366.6870,49,59739,57.8239,380.7993,35,133140,42.8289,333.7747,31,69172,40.0476,338.2158,
5,41,62039,50.9006,361.8006,35,62448,40.4425,229.2475,51,59541,58.0522,300.5317,37,51397,43.0400,283.8691,35,136040,44.1106,384.8482,
6,43,67787,52.0508,368.9328,37,107905,46.2070,386.8309,57,101222,66.7859,439.7368,39,102516,46.6396,342.7867,35,105764,44.0851,347.7435,
7,49,74271,56.7165,389.4373,39,138778,48.2055,388.7017,61,69539,73.8795,487.5295,41,59989,47.9758,376.0861,34,67822,43.0911,348.4175,
8,51,94147,60.4433,382.8153,41,69162,48.1426,338.6228,67,61078,75.7200,457.7435,41,57562,50.0742,346.7577,33,61308,40.7577,282.9698,
9,57,62485,64.7528,395.4879,43,68420,49.8004,354.9328,71,59383,79.7500,384.2907,43,62475,52.6189,403.4745,35,48389,43.3837,253.9133,
10,59,62465,66.0117,269.9846,45,69380,51.2868,301.8124,77,67667,82.1420,218.6670,45,44210,49.6112,133.3301,39,46328,43.2571,74.7349,
